Address,Balance
0x12b25c74896114c8e9cb91f3a6133567e339dcb3,2675442625555723511389362
0xe8fbbc6d08bcbe85a723a7a99d3eea6fe36b5eb6,2576710154141699519049085
0x51f49d8dea70290aa02b96aa1767841bb0a42944,2559803054525390788223177
0xa85ab9769f9c40aeb8dc8441fdd1b25dea21ba1b,2500000000000000000000000
0xdec7a494a80fa421ede390bdb824e38cc956a285,2481081038314429267645234
0xa748f61927f9fe104ec894ffb35ec1b2a6071675,2480935912975180989891583
0x0d8673b0973d7e658d845c3393270ef9f133a1f4,2406374437309300030497671
0x1a1aaf0981ec3256fe81618147b139878ddf292c,2378884346922290210715552
0x343b8d07b85bdc67e67f2d5b1e4002a2447da215,2365000000000000000000000
0xf613bdee12ebf8b204d21c4ab57793f0ad47c607,2284414143924554796652873
0xd44b3cd0181c605208c0bbb27c347e491f2b790f,2270888026966537810923869
0x8e045120052c2bfde810d400beae8757f68af06d,2253611140071697007411478
0x1d246766cd9f9ccbd398d00e5f0eaa9380b7f334,2245208078102572277863292
0x747c25398e29a2063bd9d7873f66aeeb5c9f56ad,2233124285307684962730785
0x6512306283ce0236b703d39a8e697acb20fff828,2216424511817326282376753
0xc4070303921e905db8f481be1ad606bb0dc18fb9,2192560878268292233801205
0x4cd6f86f28f6c9cff1fdf4db69431909dcfcd6f2,2166201093400366079803366
0x111d9b686fba2c7c89dff8e8297ff2f3ceeb6a3d,2118182285196919132657243
0x3c77bb539266891e3a2546d468fd8101aed12feb,2107201446217955499208006
0x240e2cb5eabb13b89d39acae9a5a54b3fe523298,2082415690579045699743178
0xec3024da1788ce58d39b6b7a2b10d78a7e8e3cc6,2060623395280121153151970
0x2cd8ad124147f4c622be5bfdf18e65b08b14e8c0,2028061682173189279104140
0xef74fe82c98b968c0b126bcaca842d12085f6ed8,2026834117429044731111722
0x5b865a8fe9c30bbce9efcdc98b932f5c0aa1e1ae,2000000000000005071297991
0x889eacb305d080f6853378dc8fd96227b2a1bf7c,2000000000000002015935609
0x3b917504ebe6cbdaeb0c3a1c82b75d41ab5c43db,2000000000000001079802916
0xed5152d60daf9c9cd9bb5dbb5600237221617603,2000000000000000000000000
0x92957790cda9fc741dfd0a839a896c695885147c,1982585412517594894247527
0xaedbb9556772de717f4008ac5008120e9dfec3f8,1927912278884157625759932
0x091e3a29506f611b1ec9418fc2a6b3f0977210bc,1880209130071662570865267
0xb7f0d7c86151cc72f748747bbcb33e5127b3c2c0,1850833374780576931375366
0x27d98f18603aa5c1100b18841ff301de1a81f33e,1834767428351503569831700
0x0585a5a496632859dfe5269adb51b80f5d9e33ff,1816776538313506783890110
0xcb2f1472d3f738903aca4acbd9a8c26baeaed79d,1810860151320053855518856
0xb9af2f53f3efdd1cd93761659dfb264a6f601287,1804683868530488763620073
0xef6269de7d3e98d3fe86c6e726a169294b561bba,1803022804471745029096632
0xcf2ded96e74ebcfc97683ed4e1606644d3b365aa,1782989673147778555739090
0xfeabd50db0ea048143ab8c638a6246d217968254,1779609932990527341300788
0xc4d9f964893532b75c63f2eaaec05c5e37959b62,1763382553383928167423949
0xf68eb71366739d4d36e633fa4c832fdc5fda6098,1712021320156854860476807
0x18e8627707406a20b05de0935d75764cd5055de0,1702840076645802913678688
0xc9113ff4317500ffbcca683a008d24a30e45a295,1691613602552168858124683
0x784cf02d4095fd7ed32c86af6a7fc177d61c1e27,1691544756788141397299891
0x77777351928ce19bee8ff5b4b1406bc4c152827a,1688236268923896009961862
0x6d1faaaaf942e259191b408f96e2cf71756d332f,1666191179289515060605977
0x444f04d7e3ce0e15f876c23f5d782cf113bd8a33,1659338547876535768090199
