address,airdrop_received,cplay_bought,buy_transactions,vault_sent,played,flip_count,flip_10_count,flip_other_count,total_bets,total_payouts,wins,losses,miner_upgrade_count,click_upgrade_count,bought_miner,bought_click,onchain_miner_level,onchain_click_level,onchain_balance,first_activity_block,last_activity_block
0x98a83A81Ece82D8Fc1473D19016337e299a8062c,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12993950,12993950
0xAbF22584bd319df7c034a7148760019AAfbe34D3,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12993963,12993963
0xefDc7784E1e8D070399BDe563521e5953d8de2Fe,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12993975,12993975
0x7CeE73B862383cFFB39906b35F0B49F6B0e84588,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12993988,12993988
0x1D5077d794FB2C3F7Ed606D159610c43D5D5A741,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994001,12994001
0xf7ecC5c41f61422a4083266e7Da3ab4AC0E39962,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994014,12994014
0x2634DD1E2C4D7031fbf675D94E70b97bd0356f8E,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994026,12994026
0x6E3748762D9354d410d5c78d01B5481563204A09,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994039,12994039
0xb4c0cE584eF0456CB29167d3c9AA80e81f2034fF,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994052,12994052
0x7A27b0e5d47ec43f14e38254D3780D6DdD44A07E,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994064,12994064
0xa746b6be99f031e018AF4592c5D677c5c9Ef498F,"2,000,010","2,000,010",2,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12869364,12994077
0x8732F43d4E2C31A0Dd8B97A8Cf10dFaeE1B4FE9F,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994090,12994090
0x92A8d5ce2EcC201Be0D707f4922Ab6484Bb50d61,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994103,12994103
0x8c89687Dbc2e36A1D3852D9e858431abA5421C57,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994115,12994115
0x681e9B6084953F668310B1719F6262b349C24f93,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994128,12994128
0x15096549584eF6544FbAe970191163527D779C24,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994141,12994141
0xd32c5FDF1715a57A7e5b5f7791cE13e743D31b64,"2,000,010","2,000,010",2,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12869361,12994153
0xc013907A1968f497126de6726561b1912cB2d6A3,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994166,12994166
0xa039BF8B8C93f6fd4EeEFd60aE98e885Fc7D46F2,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994179,12994179
